2021-11-17 10:57:24.6111|0|DEBUG|WebApplication.Program|init main |url: |action: |WebApplication.Program.Main| body: 
2021-11-17 10:57:45.6822|0|DEBUG|WebApplication.Program|init main |url: |action: |WebApplication.Program.Main| body: 
2021-11-17 10:57:48.0726|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-17 10:57:48.1035|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-17 10:57:48.1035|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Usuario\OneDrive\Escritorio\practicaC#\tp032021-DiazCode12\Cadeteria\WebApplication |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-17 11:06:14.9911|0|DEBUG|WebApplication.Program|init main |url: |action: |WebApplication.Program.Main| body: 
2021-11-17 11:06:16.8506|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-17 11:06:16.8566|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-17 11:06:16.8566|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Usuario\OneDrive\Escritorio\practicaC#\tp032021-DiazCode12\Cadeteria\WebApplication |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-17 11:10:03.1537|0|DEBUG|WebApplication.Program|init main |url: |action: |WebApplication.Program.Main| body: 
2021-11-17 16:07:33.5530|0|DEBUG|WebApplication.Program|init main |url: |action: |WebApplication.Program.Main| body: 
2021-11-17 16:07:35.4336|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-17 16:07:35.4578|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-17 16:07:35.4638|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Usuario\OneDrive\Escritorio\practicaC#\tp032021-DiazCode12\Cadeteria\WebApplication |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
